Date;Open;High;Low;Close;Adj Close;Volume
2018-01-02;93.19999694824219;93.27999877929688;92.52999877929688;93.26000213623047;83.33296966552734;1537503
2018-01-03;93.2699966430664;94.16000366210938;92.5;93.81999969482422;83.83334350585938;1566017
2018-01-04;94.4800033569336;94.91000366210938;94.0199966430664;94.33999633789062;84.29798889160156;1912976
2018-01-05;94.86000061035156;95.70999908447266;94.76000213623047;95.2300033569336;85.09326171875;1852838
2018-01-08;95.83999633789062;95.86000061035156;94.80999755859375;94.91000366210938;84.80732727050781;1099464
2018-01-09;95.06999969482422;96.69999694824219;95.02999877929688;95.7300033569336;85.5400390625;1673893
2018-01-10;95.69999694824219;96.4800033569336;95.08000183105469;95.2699966430664;85.12899780273438;2195168
2018-01-11;95.5999984741211;96.01000213623047;94.91999816894531;95.0999984741211;84.97708892822266;1580014
2018-01-12;95.12000274658203;95.4000015258789;94.48999786376953;94.75;84.66435241699219;1394898
2018-01-15;94.83999633789062;95.94000244140625;94.51000213623047;95.33999633789062;85.19154357910156;1236292
2018-01-16;95.5;95.80000305175781;94.66000366210938;94.81999969482422;84.72689819335938;1620036
2018-01-17;94.58999633789062;94.91000366210938;94.02999877929688;94.55000305175781;84.48564910888672;1302496
2018-01-18;94.80999755859375;95.16999816894531;93.81999969482422;94.12999725341797;84.11034393310547;2019903
2018-01-19;94.12999725341797;95.0;94.0199966430664;94.36000061035156;84.31585693359375;1703741
2018-01-22;94.27999877929688;94.51000213623047;93.62999725341797;94.13999938964844;84.1192855834961;1221346
2018-01-23;93.97000122070312;94.41000366210938;92.76000213623047;93.20999908447266;83.28827667236328;2038359
2018-01-24;93.0;93.13999938964844;92.02999877929688;92.02999877929688;82.23388671875;1582549
2018-01-25;92.0;92.87000274658203;91.27999877929688;91.51000213623047;81.76923370361328;1576947
2018-01-26;91.77999877929688;92.80000305175781;91.51000213623047;92.55000305175781;82.69853973388672;1325418
2018-01-29;92.5;92.5199966430664;90.80999755859375;91.4000015258789;81.67094421386719;1898080
2018-01-30;91.30000305175781;91.75;91.02999877929688;91.37000274658203;81.6441421508789;1655203
2018-01-31;91.75;91.91000366210938;91.08999633789062;91.13999938964844;81.43861389160156;1506380
2018-02-01;91.8499984741211;92.26000213623047;91.02999877929688;91.4000015258789;81.67094421386719;1518490
2018-02-02;91.0;91.30000305175781;89.66000366210938;89.69000244140625;80.1429672241211;1845854
2018-02-05;89.63999938964844;89.63999938964844;87.80999755859375;88.26000213623047;78.86518859863281;2200391
2018-02-06;85.0;87.51000213623047;84.29000091552734;86.26000213623047;77.07807159423828;4067191
2018-02-07;87.5999984741211;88.41999816894531;86.70999908447266;88.0199966430664;78.65071868896484;2076760
2018-02-08;87.02999877929688;87.4000015258789;85.12000274658203;85.52999877929688;76.42577362060547;2453525
2018-02-09;85.0;85.47000122070312;83.20999908447266;83.91999816894531;74.98715209960938;2634649
2018-02-12;85.0;85.26000213623047;84.37999725341797;84.63999938964844;75.63050842285156;1934183
2018-02-13;84.66999816894531;84.91999816894531;83.62999725341797;83.70999908447266;74.79949951171875;1429956
2018-02-14;84.48999786376953;85.12000274658203;82.9800033569336;83.58999633789062;74.69226837158203;2067168
2018-02-15;83.31999969482422;83.47000122070312;82.02999877929688;83.19999694824219;74.34378814697266;2242674
2018-02-16;84.26000213623047;85.75;84.02999877929688;85.20999908447266;76.13983917236328;2441964
